Fine aggregate (kg/m3),Coarse aggregate (kg/m3),molarity,NaOh(kg/m3),Na2SiO3,GGBS,fly ash,Water,superplastisizer,curing temp,DAYS,compressive strength
588,1092,12,47.5,118.7,0,553.8,24.5,0,75,7,46.5
588,1092,12,47.5,118.7,0,553.8,24.5,0,75,28,48.6
588,1092,12,47.5,118.7,0,553.8,24.5,0,75,7,53.4
588,1092,12,47.5,118.7,0,553.8,24.5,0,75,28,58.4
588,1092,12,47.5,118.7,0,553.8,36,0,75,7,39.6
588,1092,12,47.5,118.7,0,553.8,36,0,75,28,44.7
646.8,1201.2,12,36.4,91,0,424.6,27.3,0,75,7,48.7
646.8,1201.2,12,36.4,91,0,424.6,27.3,0,75,28,49.1
646.8,1201.2,12,36.4,91,0,424.6,27.3,0,75,7,38
646.8,1201.2,12,36.4,91,0,424.6,27.3,0,75,28,40
646.8,1201.2,12,36.4,91,212.3,212.3,38,0,20,7,69
646.8,1201.2,12,36.4,91,212.3,212.3,38,0,20,28,84
646.8,1201.2,12,36.4,91,212.3,212.3,38,0,75,7,104
646.8,1201.2,12,36.4,91,212.3,212.3,38,0,75,28,107
646.8,1201.2,12,45.1,112.7,78.9,315.4,15.4,0,10,7,16
646.8,1201.2,12,45.1,112.7,78.9,315.4,15.4,0,10,28,56
646.8,1201.2,12,45.1,112.7,78.9,315.4,15.4,0,20,7,37
646.8,1201.2,12,45.1,112.7,78.9,315.4,15.4,0,20,28,58
646.8,1201.2,12,36.4,91,127.4,297.2,0,0,20,7,44
646.8,1201.2,12,36.4,91,127.4,297.2,0,0,20,28,63
646.8,1201.2,12,36.4,91,127.4,424.6,42.5,0,75,28,31
646.8,1201.2,12,36.4,91,212.3,212.3,66.5,0,20,28,86
,,,,,,,,,,,
,,,,,,,,,,,
584.58,1085.65,12,91.91,137.86,0,400,0,0,25,7,24
584.58,1085.65,12,91.91,137.86,0,400,0,0,25,7,22
584.58,1085.65,12,91.91,137.86,120,280,0,0,25,7,42
584.58,1085.65,12,91.91,137.86,120,280,0,0,25,7,32
,,,,,,,,,,,
,,,,,,,,,,,
651,1209,12,45.7,114.3,0,400,0,0,25,3,4
651,1209,12,45.7,114.3,0,400,0,0,25,7,16
651,1209,12,45.7,114.3,0,400,0,0,25,28,26
651,1209,12,45.7,114.3,0,400,0,0,25,56,30
651,1209,12,45.7,114.3,40,360,0,0,25,3,12
651,1209,12,45.7,114.3,40,360,0,0,25,7,18
651,1209,12,45.7,114.3,40,360,0,0,25,28,35
651,1209,12,45.7,114.3,40,360,0,0,25,56,38
651,1209,12,45.7,114.3,80,320,0,0,25,3,20
651,1209,12,45.7,114.3,80,320,0,0,25,7,24
651,1209,12,45.7,114.3,80,320,0,0,25,28,47
651,1209,12,45.7,114.3,80,320,0,0,25,56,46
651,1209,12,45.7,114.3,120,280,0,0,25,3,24
651,1209,12,45.7,114.3,120,280,0,0,25,7,41
651,1209,12,45.7,114.3,120,280,0,0,25,28,55
651,1209,12,45.7,114.3,120,280,0,0,25,56,61
651,1209,12,40,100,40,360,0,0,25,3,20
651,1209,12,40,100,40,360,0,0,25,7,32
651,1209,12,40,100,40,360,0,0,25,28,48
651,1209,12,40,100,40,360,0,0,25,56,52
651,1209,12,51.5,128.5,40,360,0,0,25,3,11
651,1209,12,51.5,128.5,40,360,0,0,25,7,20
651,1209,12,51.5,128.5,40,360,0,0,25,28,30
651,1209,12,51.5,128.5,40,360,0,0,25,56,32
651,1209,12,64,96,40,360,0,0,25,3,11
651,1209,12,64,96,40,360,0,0,25,7,19
651,1209,12,64,96,40,360,0,0,25,28,37
651,1209,12,64,96,40,360,0,0,25,56,40
651,1209,12,53.3,106.7,40,360,0,0,25,3,12
651,1209,12,53.3,106.7,40,360,0,0,25,7,23
651,1209,12,53.3,106.7,40,360,0,0,25,28,36
651,1209,12,53.3,106.7,40,360,0,0,25,56,37
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
710.4,1144.6,12,45.2,112.9,42.5,193.5,59,0,80,28,48
710.4,1144.6,12,45.2,112.9,42.5,193.5,59,0,80,28,47
710.4,1144.6,12,45.2,112.9,42.5,193.5,59,0,80,28,46
710.4,1144.6,12,45.2,112.9,42.5,193.5,59,0,80,28,45
710.4,1144.6,12,45.2,112.9,42.5,193.5,59,0,80,28,53
710.4,1144.6,12,45.2,112.9,42.5,193.5,59,0,80,28,49
710.4,1144.6,12,45.2,112.9,42.5,193.5,59,0,80,28,45
710.4,1144.6,12,45.2,112.9,42.5,193.5,59,0,80,28,39
710.4,1144.6,12,45.2,112.9,42.5,193.5,59,0,80,28,53
710.4,1144.6,12,45.2,112.9,42.5,193.5,59,0,80,28,45
710.4,1144.6,12,45.2,112.9,42.5,193.5,59,0,80,28,40
710.4,1144.6,12,45.2,112.9,42.5,193.5,59,0,80,28,33
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
437.87,937.4,8,95.86,239.64,0,550,0,0,27,7,5.64
437.87,937.4,8,95.86,239.64,0,550,0,0,27,28,13.38
437.87,937.4,8,95.86,239.64,0,550,0,0,60,7,22.8
437.87,937.4,8,95.86,239.64,0,550,0,0,60,28,26.35
437.87,937.4,10,95.86,239.64,0,550,0,0,27,7,8.01
437.87,937.4,10,95.86,239.64,0,550,0,0,27,28,15.43
437.87,937.4,10,95.86,239.64,0,550,0,0,60,7,29.9
437.87,937.4,10,95.86,239.64,0,550,0,0,60,28,31.4
437.87,937.4,12,95.86,239.64,0,550,0,0,27,7,9.2
437.87,937.4,12,95.86,239.64,0,550,0,0,27,28,16.2
437.87,937.4,12,95.86,239.64,0,550,0,0,60,7,31.3
437.87,937.4,12,95.86,239.64,0,550,0,0,60,28,35.5
437.87,937.4,13,95.86,239.64,0,550,0,0,27,7,10.78
437.87,937.4,13,95.86,239.64,0,550,0,0,27,28,17.46
437.87,937.4,13,95.86,239.64,0,550,0,0,60,7,33.34
437.87,937.4,13,95.86,239.64,0,550,0,0,60,28,38.2
437.87,937.4,14,95.86,239.64,0,550,0,0,27,7,10.5
437.87,937.4,14,95.86,239.64,0,550,0,0,27,28,17.1
437.87,937.4,14,95.86,239.64,0,550,0,0,60,7,32.5
437.87,937.4,14,95.86,239.64,0,550,0,0,60,28,36.36
437.87,937.4,16,95.86,239.64,0,550,0,0,27,7,9.82
437.87,937.4,16,95.86,239.64,0,550,0,0,27,28,16.26
437.87,937.4,16,95.86,239.64,0,550,0,0,60,7,29.9
437.87,937.4,16,95.86,239.64,0,550,0,0,60,28,32.83
437.87,937.4,18,95.86,239.64,0,550,0,0,27,7,9.56
437.87,937.4,18,95.86,239.64,0,550,0,0,27,28,13.8
437.87,937.4,18,95.86,239.64,0,550,0,0,60,7,14.56
437.87,937.4,18,95.86,239.64,0,550,0,0,60,28,17.52
446.91,957.69,13,95.86,239.64,110,440,0,0,27,7,14.65
446.91,957.69,13,95.86,239.64,110,440,0,0,27,28,21.5
446.91,957.69,13,95.86,239.64,110,440,0,0,60,7,37.5
446.91,957.69,13,95.86,239.64,110,440,0,0,60,28,41.3
455.59,776.26,13,95.86,239.64,220,330,0,0,27,7,18.36
455.59,776.26,13,95.86,239.64,220,330,0,0,27,28,25.6
455.59,776.26,13,95.86,239.64,220,330,0,0,60,7,33.67
455.59,776.26,13,95.86,239.64,220,330,0,0,60,28,38.4
464.27,994.87,13,95.86,239.64,330,220,0,0,27,7,27.64
464.27,994.87,13,95.86,239.64,330,220,0,0,27,28,34.4
464.27,994.87,13,95.86,239.64,330,220,0,0,60,7,27.5
464.27,994.87,13,95.86,239.64,330,220,0,0,60,28,30.6
472.95,1013.47,13,95.86,239.64,440,110,0,0,27,7,32.84
472.95,1013.47,13,95.86,239.64,440,110,0,0,27,28,38.2
472.95,1013.47,13,95.86,239.64,440,110,0,0,60,7,24.65
472.95,1013.47,13,95.86,239.64,440,110,0,0,60,28,27.4
481.21,1030.2,13,95.86,239.64,550,0,0,0,27,7,39.2
481.21,1030.2,13,95.86,239.64,550,0,0,0,27,28,43.6
481.21,1030.2,13,95.86,239.64,550,0,0,0,60,7,20.4
481.21,1030.2,13,95.86,239.64,550,0,0,0,60,28,24.3
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
610.2,1220.35,8,46.48,116.22,40.68,366.1,0,0,25,3,15.46
