Fine aggregate (kg/m3),Coarse aggregate (kg/m3),molarity,NaOh(kg/m3),Na2SiO3,fly ash,Water,superplastisizer,curing temp,DAYS,CS
630,1170,14,49,122,428,43,36.38,75,3,30
630,1170,14,44,111,444,43,39.96,75,3,30
630,1170,14,57,114,428,43,36.38,75,3,40
630,1170,14,49,122,428,43,36.38,75,3,28
630,1170,14,49,122,428,43,36.38,75,3,32
630,1170,14,49,122,428,43,36.38,75,3,32
630,1170,14,49,122,428,43,55.64,75,3,30
630,1170,14,49,122,428,43,72.76,75,3,29
630,1170,14,49,122,428,43,36.38,75,3,36
630,1170,14,49,122,428,43,36.38,75,3,45
630,1170,14,57,114,428,43,18.404,75,3,30
630,1170,14,57,114,428,64,18.404,75,3,24
630,1170,14,57,114,428,86,18.404,75,3,20
630,1170,8,57,114,428,43,18.404,75,7,32
630,1170,10,57,114,428,43,18.404,75,7,35
630,1170,12,57,114,428,43,18.404,75,7,43
630,1170,14,57,114,428,43,18.404,75,7,46
630,1170,14,57,114,428,43,18.404,60,7,38
630,1170,14,57,114,428,43,18.404,75,7,46
630,1170,14,57,114,428,43,18.404,90,7,49
593,1079,12,72,179,418,0,0,60,28,50.8
593,1079,12,72,179,418,0,0,90,28,54.4
593,1079,12,72,179,418,0,0,120,28,57.24
612,1113,12,62,154,431,0,0,60,28,52.04
612,1113,12,62,154,431,0,0,90,28,53.6
612,1113,12,62,154,431,0,0,120,28,55.01
632,1149,12,51,127,445,0,0,60,28,46.34
632,1149,12,51,127,445,0,0,90,28,49.73
632,1149,12,51,127,445,0,0,120,28,52.43
588,1091,12,104,104,414,0,0,23,7,19.89
588,1091,12,104,104,414,0,0,23,28,39.67
588,1091,12,104,104,414,0,0,60,7,40.73
588,1091,12,104,104,414,0,0,60,28,46.67
588,1091,12,104,104,414,0,0,23,7,22.3
588,1091,12,104,104,414,0,0,23,28,45.34
588,1091,12,104,104,414,0,0,60,7,42.91
588,1091,12,104,104,414,0,0,60,28,54.4
588,1091,12,104,104,414,0,0,23,7,20.5
588,1091,12,104,104,414,0,0,23,28,37.54
588,1091,12,104,104,414,0,0,60,7,41.2
588,1091,12,104,104,414,0,0,60,28,43.42
588,1091,12,69,138,414,0,0,23,7,21.27
588,1091,12,69,138,414,0,0,23,28,33.8
588,1091,12,69,138,414,0,0,60,7,37.69
588,1091,12,69,138,414,0,0,60,28,40.09
588,1091,12,69,138,414,0,0,23,7,22.99
588,1091,12,69,138,414,0,0,23,28,39.02
588,1091,12,69,138,414,0,0,60,7,38.85
588,1091,12,69,138,414,0,0,60,28,48.18
588,1091,12,69,138,414,0,0,23,7,23.06
588,1091,12,69,138,414,0,0,23,28,46.69
588,1091,12,69,138,414,0,0,60,7,39.27
588,1091,12,69,138,414,0,0,60,28,49.5
793,793,14,61.6,,474,163,7.11,25,7,106
793,793,14,61.6,,474,163,7.11,25,7,105.5
793,793,14,61.6,,474,163,7.11,25,7,103.8
793,793,14,61.6,,474,163,7.11,25,7,93.8
793,793,14,61.6,,474,163,7.11,25,7,43.8
793,793,14,61.6,,474,163,7.11,25,7,106.1
793,793,14,61.6,,474,163,7.11,25,7,43.9
739,1110,14,41,103,408,0,6.12,25,7,60.7
739,1110,14,41,103,408,0,6.12,25,7,59.5
922.7,922.7,14,41,103,408,22.5,6.12,25,7,56.7
739,1110,14,41,103,408,0,6.12,25,7,15.2
739,1110,14,41,103,408,0,6.12,25,7,38.5
739,1110,14,41,103,408,0,6.12,25,7,60.6
739,1110,14,41,103,408,0,6.12,25,7,17.2
656.25,1218.75,14,51.02,127.55,446.43,22.32,8.9286,90,3,45.26
656.25,1218.75,14,51.02,127.55,446.43,22.32,8.9286,90,7,51.3
656.25,1218.75,14,51.02,127.55,446.43,22.32,8.9286,90,28,54
656.25,1218.75,14,51.02,127.55,446.43,22.32,8.9286,90,90,56.23
656.25,1218.75,14,51.02,127.55,446.43,22.32,8.9286,90,365,61.55
629.35,1218.75,14,51.02,127.55,446.43,22.32,8.9286,90,3,40.55
629.35,1218.75,14,51.02,127.55,446.43,22.32,8.9286,90,7,45
629.35,1218.75,14,51.02,127.55,446.43,22.32,8.9286,90,28,48.33
629.35,1218.75,14,51.02,127.55,446.43,22.32,8.9286,90,90,49.67
629.35,1218.75,14,51.02,127.55,446.43,22.32,8.9286,90,365,56
602.55,1218.75,14,51.02,127.55,446.43,22.32,8.9286,90,3,32.65
602.55,1218.75,14,51.02,127.55,446.43,22.32,8.9286,90,7,38.12
602.55,1218.75,14,51.02,127.55,446.43,22.32,8.9286,90,28,40
602.55,1218.75,14,51.02,127.55,446.43,22.32,8.9286,90,90,42.11
602.55,1218.75,14,51.02,127.55,446.43,22.32,8.9286,90,365,51.75
575.64,1218.75,14,51.02,127.55,446.43,22.32,8.9286,90,3,24
575.64,1218.75,14,51.02,127.55,446.43,22.32,8.9286,90,7,28.5
575.64,1218.75,14,51.02,127.55,446.43,22.32,8.9286,90,28,30
575.64,1218.75,14,51.02,127.55,446.43,22.32,8.9286,90,90,33
575.64,1218.75,14,51.02,127.55,446.43,22.32,8.9286,90,365,42
793,793,12,61.6,46.2,474,163,7.11,25,1,26
793,793,12,61.6,46.2,474,163,7.11,25,1,20
793,793,12,61.6,46.2,474,163,7.11,25,1,20
793,793,12,61.6,46.2,474,163,7.11,25,1,45
793,793,12,61.6,46.2,474,163,7.11,25,1,65
793,793,12,61.6,46.2,474,163,7.11,25,7,28
793,793,12,61.6,46.2,474,163,7.11,25,7,22
793,793,12,61.6,46.2,474,163,7.11,25,7,21
793,793,12,61.6,46.2,474,163,7.11,25,7,48
793,793,12,61.6,46.2,474,163,7.11,25,7,66
793,793,12,61.6,46.2,474,163,7.11,25,28,29
793,793,12,61.6,46.2,474,163,7.11,25,28,22
793,793,12,61.6,46.2,474,163,7.11,25,28,23
793,793,12,61.6,46.2,474,163,7.11,25,28,49
793,793,12,61.6,46.2,474,163,7.11,25,28,66
622,1155,14,76.36,133.64,425,0,0,80,7,54
622,1155,14,76.36,133.64,425,0,0,80,7,55
622,1155,14,76.36,133.64,425,0,0,80,7,55.5
622,1155,14,76.36,133.64,425,0,0,80,7,28
622,1155,14,76.36,133.64,425,0,0,80,28,56
622,1155,14,76.36,133.64,425,0,0,80,28,54.5
622,1155,14,76.36,133.64,425,0,0,80,28,54
622,1155,14,76.36,133.64,425,0,0,80,28,29
622,1155,14,76.36,133.64,450,0,0,80,7,32
622,1155,14,76.36,133.64,450,0,0,80,7,41
622,1155,14,76.36,133.64,450,0,0,80,7,38
622,1155,14,76.36,133.64,450,0,0,80,7,34
622,1155,14,76.36,133.64,450,0,0,80,28,36
622,1155,14,76.36,133.64,450,0,0,80,28,43
622,1155,14,76.36,133.64,450,0,0,80,28,39
622,1155,14,76.36,133.64,450,0,0,80,28,32
615.4,1109,10,49.7,395.6,1230.8,108.6,0,25,7,8
615.4,1109,10,49.7,395.6,1230.8,108.6,0,25,28,11
648.6,1109,10,40.7,324.3,1232.4,89,0,25,7,34.4
648.6,1109,10,40.7,324.3,1232.4,89,0,25,28,62.5
631.6,1109,10,45.3,360.9,1136.8,99,0,25,7,51.7
631.6,1109,10,45.3,360.9,1136.8,99,0,25,28,107.6
615.4,1109,10,49.7,395.6,984.6,108.6,0,25,7,50.8
615.4,1109,10,49.7,395.6,984.6,108.6,0,25,28,50.4
631.6,1109,12,52.1,360.9,1200,92.2,0,25,7,47.5
631.6,1109,12,52.1,360.9,1200,92.2,0,25,28,63.5
615.4,1109,12,57.1,395.6,1107.7,101.1,0,25,7,71.8
615.4,1109,12,57.1,395.6,1107.7,101.1,0,25,28,101.1
648.6,1109,12,46.8,324.3,1037.8,82.9,0,25,7,54.8
648.6,1109,12,46.8,324.3,1037.8,82.9,0,25,28,80
615.4,1109,14,63.9,395.6,1169.2,94.3,0,25,7,47.4
615.4,1109,14,63.9,395.6,1169.2,94.3,0,25,28,75.1
648.6,1109,14,52.4,324.3,1167.6,77.3,0,25,7,73.4
648.6,1109,14,52.4,324.3,1167.6,77.3,0,25,28,118.9
631.6,1109,14,58.3,360.9,1010.5,86,0,25,7,51.5
631.6,1109,14,58.3,360.9,1010.5,86,0,25,28,55.7
594.3,1094.9,14,19.8,157.7,465.8,43.5,0,25,7,28.3
594.3,1094.9,14,19.8,157.7,465.8,43.5,0,25,28,44.9
586.3,1080.2,14,21.1,130.3,467.9,31.1,0,25,7,31
586.3,1080.2,14,21.1,130.3,467.9,31.1,0,25,28,56.2
594,1094.4,14,25.5,157.7,441.6,37.7,0,25,7,34.4
594,1094.4,14,25.5,157.7,441.6,37.7,0,25,28,56.8
850,950,10,57,143,400,40,0,20,28,100
850,950,10,57,143,400,40,0,500,28,110
850,950,10,57,143,400,40,0,1200,28,70
640,1000,10,43.5,108.5,400,40,0,20,28,100
640,1000,10,43.5,108.5,400,40,0,500,28,50
640,1000,10,43.5,108.5,400,40,0,1200,28,5
700,1050,10,46,138,460,46,0,20,28,100
700,1050,10,46,138,460,46,0,500,28,90
700,1050,10,46,138,460,46,0,1200,28,40
501,1283,14,38,94,377,20,6,25,7,29.89
501,1283,14,38,94,377,20,6,25,28,34.17
582,1327,14,32,79,314,19,6,25,7,34.73
582,1327,14,32,79,314,19,6,25,28,40.27
556,1311,14,42,104,417,20,6,25,7,39.57
556,1311,14,42,104,417,20,6,25,28,46.37
584,1341,14,38,96,417,20,6,25,7,36.28
584,1341,14,38,96,417,20,6,25,28,41.51
556,1311,8,42,104,417,0,3,25,7,12.23
556,1311,8,42,104,417,0,3,25,28,18.32
556,1311,12,42,104,417,20,6,25,7,31.92
556,1311,12,42,104,417,20,6,25,28,36.52
556,1311,16,42,104,417,24,6,25,7,32.51
556,1311,16,42,104,417,24,6,25,28,40.89
556,1311,14,36,89,417,22,6,25,7,30.58
556,1311,14,36,89,417,22,6,25,28,34.71
556,1311,14,48,119,417,18,6,25,7,36.21
556,1311,14,48,119,417,18,6,25,28,40.28
556,1311,14,104,42,417,0,3,25,7,8.23
556,1311,14,104,42,417,0,3,25,28,12.17
556,1311,14,73,73,417,18,6,25,7,17.45
556,1311,14,73,73,417,18,6,25,28,23.1
556,1311,14,36.5,109.5,417,22,6,25,7,28.19
556,1311,14,36.5,109.5,417,22,6,25,28,32.49
555,1309,14,42,104,416.5,20,6,25,7,41.47
555,1309,14,42,104,416.5,20,6,25,28,51.82
554,1307,14,42,104,416,22,6,25,7,41.97
554,1307,14,42,104,416,22,6,25,28,52.73
553,1305,14,42,104,415,24,6,25,7,42.62
553,1305,14,42,104,415,24,6,25,28,53.52
554,1307,14,42,104,416,20,6,25,7,40.73
554,1307,14,42,104,416,20,6,25,28,52.07
553,1303,14,42,104,415,21,6,25,7,41.92
553,1303,14,42,104,415,21,6,25,28,53.78
551,1301,14,42,104,414,22,6,25,7,42.85
551,1301,14,42,104,414,22,6,25,28,54.62
550,1297,14,42,104,413,24,6,25,7,43.77
550,1297,14,42,104,413,24,6,25,28,55.17
550,1297,14,42,104,413,22,6,25,7,44.18
550,1297,14,42,104,413,22,6,25,28,54.83
550,1297,14,42,104,413,24,6,25,7,44.87
550,1297,14,42,104,413,24,6,25,28,53.69
550,1297,14,42,104,413,26,6,25,7,42.89
550,1297,14,42,104,413,26,6,25,28,51.38
553,1303,14,42,104,415,20,6,25,7,42.71
553,1303,14,42,104,415,20,6,25,28,49.87
547,1268,14,42,104,411,22,6,25,7,42.87
547,1268,14,42,104,411,22,6,25,28,53.06
441.1,819.3,12,57.4,308.2,250,0,0,25,28,28
441.1,819.3,12,57.4,308.2,250,0,0,25,60,38
441.1,819.3,12,57.4,308.2,244,0,0,25,28,55
441.1,819.3,12,57.4,308.2,244,0,0,25,60,66
441.1,819.3,12,57.4,308.2,237.5,0,0,25,28,43
441.1,819.3,12,57.4,308.2,237.5,0,0,25,60,50
441.1,819.3,12,57.4,308.2,231.3,0,0,25,28,32
441.1,819.3,12,57.4,308.2,231.3,0,0,25,60,42
441.1,819.3,12,57.4,308.2,250,0,0,25,28,43
441.1,819.3,12,57.4,308.2,250,0,0,25,60,53
441.1,819.3,12,57.4,308.2,250,0,0,25,28,51
441.1,819.3,12,57.4,308.2,250,0,0,25,60,61
441.1,819.3,12,57.4,308.2,244,0,0,25,28,57
441.1,819.3,12,57.4,308.2,244,0,0,25,60,67
441.1,819.3,12,57.4,308.2,244,0,0,25,28,46
441.1,819.3,12,57.4,308.2,244,0,0,25,60,57
441.1,819.3,12,57.4,308.2,237.5,0,0,25,28,57
441.1,819.3,12,57.4,308.2,237.5,0,0,25,60,63
441.1,819.3,12,57.4,308.2,237.5,0,0,25,28,49
441.1,819.3,12,57.4,308.2,237.5,0,0,25,60,58
441.1,819.3,12,57.4,308.2,231.3,0,0,25,28,49
441.1,819.3,12,57.4,308.2,231.3,0,0,25,60,57
441.1,819.3,12,57.4,308.2,231.3,0,0,25,28,48
441.1,819.3,12,57.4,308.2,231.3,0,0,25,60,51
575,1343,16,38,95,350,36.02,0,25,3,2.5
575,1343,16,38,95,350,36.02,0,25,7,7.5
575,1343,16,38,95,350,36.02,0,25,28,14
575,1343,16,38,95,350,36.02,0,90,3,5
575,1343,16,38,95,350,36.02,0,90,7,10
575,1343,16,38,95,350,36.02,0,90,28,20
575,1343,16,38,95,350,36.02,0,25,3,5
575,1343,16,38,95,350,36.02,0,25,7,10
575,1343,16,38,95,350,36.02,0,25,28,15
575,1343,16,38,95,350,36.02,0,90,3,7.5
575,1343,16,38,95,350,36.02,0,90,7,17.5
575,1343,16,38,95,350,36.02,0,90,28,27.5
575,1343,16,38,95,350,36.02,0,25,3,6
575,1343,16,38,95,350,36.02,0,25,7,12
575,1343,16,38,95,350,36.02,0,25,28,20
565,1343,16,44.4,111,350,31.58,0,90,3,8
565,1343,16,44.4,111,350,31.58,0,90,7,23
565,1343,16,44.4,111,350,31.58,0,90,28,31
565,1310,16,44.4,111,370,31.58,0,25,3,5
565,1310,16,44.4,111,370,31.58,0,25,7,10
565,1310,16,44.4,111,370,31.58,0,25,28,13
565,1310,16,44.4,111,370,31.58,0,90,3,7.5
565,1310,16,44.4,111,370,31.58,0,90,7,21
565,1310,16,44.4,111,370,31.58,0,90,28,25
565,1310,16,44.4,111,370,31.58,0,25,3,7
565,1310,16,44.4,111,370,31.58,0,25,7,17
565,1310,16,44.4,111,370,31.58,0,25,28,23
565,1310,16,44.4,111,370,31.58,0,90,3,15
565,1310,16,44.4,111,370,31.58,0,90,7,25
565,1310,16,44.4,111,370,31.58,0,90,28,27.5
565,1310,16,44.4,111,370,31.58,0,25,3,13
565,1310,16,44.4,111,370,31.58,0,25,7,23
565,1310,16,44.4,111,370,31.58,0,25,28,28
565,1310,16,44.4,111,370,31.58,0,90,3,16
565,1310,16,44.4,111,370,31.58,0,90,7,31
565,1310,16,44.4,111,370,31.58,0,90,28,37
540,1265,16,52.58,131.45,400,27.07,0,25,3,5
540,1265,16,52.58,131.45,400,27.07,0,25,7,10
540,1265,16,52.58,131.45,400,27.07,0,25,28,11
540,1265,16,52.58,131.45,400,27.07,0,90,3,18
540,1265,16,52.58,131.45,400,27.07,0,90,7,32
540,1265,16,52.58,131.45,400,27.07,0,90,28,40
540,1265,16,52.58,131.45,400,27.07,0,25,3,7
540,1265,16,52.58,131.45,400,27.07,0,25,7,18
540,1265,16,52.58,131.45,400,27.07,0,25,28,20
540,1265,16,52.58,131.45,400,27.07,0,90,3,20
540,1265,16,52.58,131.45,400,27.07,0,90,7,35
540,1265,16,52.58,131.45,400,27.07,0,90,28,50
540,1265,16,52.58,131.45,400,27.07,0,25,3,11
540,1265,16,52.58,131.45,400,27.07,0,25,7,21
540,1265,16,52.58,131.45,400,27.07,0,25,28,22
540,1265,16,52.58,131.45,400,27.07,0,90,3,33
540,1265,16,52.58,131.45,400,27.07,0,90,7,54
540,1265,16,52.58,131.45,400,27.07,0,90,28,73
,,,,,,,,,,
666.58,993.7,12,110.2,275.59,550,0,0,25,3,9
666.58,993.7,12,110.2,275.59,550,0,0,25,7,16
666.58,993.7,12,110.2,275.59,550,0,0,25,28,31
666.58,993.7,12,110.2,275.59,495,0,0,25,3,18
666.58,993.7,12,110.2,275.59,495,0,0,25,7,23
666.58,993.7,12,110.2,275.59,495,0,0,25,28,32
666.58,993.7,12,110.2,275.59,440,0,0,25,3,20
